,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
270,432,364,288,288,16,21,58,65,17,9,2,7,71,53,0,86,4,1,0,0
271,285,442,285,285,13,12,52,65,8,10,3,5,57,74,85,0,5,1,5,1
272,431,607,199,199,17,17,58,42,5,8,6,3,35,70,62,0,0,0,3,3
273,266,575,235,235,7,6,49,56,11,11,2,3,59,95,87,3,0,4,4,3
274,409,446,267,267,10,13,46,49,6,14,8,1,61,52,67,0,1,1,5,1
275,399,395,250,250,15,9,52,50,9,6,3,3,51,90,0,71,0,5,4,3
276,362,351,241,241,12,13,63,49,16,17,4,6,60,67,0,83,3,0,1,4
277,322,564,218,218,4,4,47,48,5,14,3,1,50,50,84,0,5,2,1,2
278,441,334,240,240,14,12,51,52,7,5,3,1,71,54,75,0,2,3,1,2
279,342,402,218,218,12,8,53,50,11,12,4,7,76,65,1,78,0,2,0,5
280,445,484,244,244,8,10,42,44,10,12,5,5,53,63,0,64,2,5,5,1
281,456,298,290,290,11,6,56,45,13,7,3,2,63,74,81,0,2,4,1,4
282,483,438,210,210,10,11,40,46,8,6,1,2,57,77,1,66,2,5,0,1
283,451,645,204,204,6,5,50,32,6,17,5,1,73,59,66,2,1,3,0,4
284,777,276,173,173,9,9,40,45,18,5,2,6,45,54,0,64,1,1,2,1
285,387,305,250,250,18,15,51,58,15,4,2,8,47,43,0,74,1,2,2,1
286,752,236,227,227,10,8,44,49,14,0,0,8,64,78,1,73,0,2,0,1
287,529,236,245,245,12,12,55,49,14,5,2,0,63,53,0,80,0,4,4,2
288,236,918,213,213,11,8,36,35,7,14,5,4,50,87,48,4,0,0,5,1
289,375,492,259,259,11,14,56,52,11,13,4,4,68,77,0,80,2,1,2,1
290,620,330,211,211,8,2,43,43,12,12,6,7,55,77,74,0,1,1,1,1
291,267,603,211,211,15,15,42,59,7,26,14,3,66,67,68,0,2,0,2,1
292,269,591,229,229,8,10,46,39,6,19,6,2,66,69,65,1,0,3,1,2
293,194,739,255,255,13,13,42,53,5,9,3,3,77,61,70,0,3,1,2,3
294,212,784,171,171,8,11,39,42,5,14,10,0,39,65,65,0,2,0,2,1
295,344,417,202,202,15,13,56,50,7,7,3,0,65,85,0,81,0,0,1,0
